name,title,company,bio,country,talk_title,photo_url,social_links,event,event_year,source_url
Carly B,Head of VIP & Strategic Partnerships,The Bitcoin Conference,"Carly Benson is the Head of VIP & Strategic Partnerships for the Bitcoin Conference and has been running the Whale Pass experience since 2021. Carly became a Bitcoin-only Bitcoiner in 2017 after living in Las Vegas and interacting with the professional poker and sports betting community. She learned about Bitcoin by seeing use-cases for it as the whales of the gambling world have been betting, settling and transacting in BTC for many years. Before getting in to the Bitcoin space, Carly ran her own successful marketing consultancy for 18 years and was known as an alcohol-free SME, Course Creator and Yoga Instructor. She has given talks around the world and her work and courses have helped thousands change their relationship with alcohol. She’s been featured in Women’s Health, SELF magazine, Extra TV, Travel Zoo and other notable outlets.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691d1b498552f2277f3560f8_fba248d90e04025f89ab2d2b.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Charlie Hu,Co-founder,Bitlayer,"Charlie Hu is an entrepreneur and investor with a long tenure in the crypto space. He bought his first bitcoin in 2013 and since then he has been actively involved in the crypto spaces holding key positions in Polkadot, Tezos and Polygon. He is an active proponent of Bitcoin DeFi and scalability, believing that the largest liquidity unlock potential remains to be seen. Currently he is the the Cofounder of Bitlayer, a Bitcoin Layer 2 supercharging BitcoinDefi through YBTC and BitVM technology, a third generation bridging solution. Charlie is an active public speaker having participated in panels and delivering keynotes participated in Korea Blockchain Week, Bitcoin Nashville, Bitcoin Asia, Consensus. He is regularly featured in top media such as Cointelegraph, Coindesk, Bitcoin.com, Forbes amongst others. He is also a key connector between east and west unlocking opportunities between Asia retail communities and large investors and institutions in the US.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691249b0ba33f4077c82dfb6_zzDn55nmpycjqXrYvFcBeUMlIKZpHTPyYj7u_8rCr2I.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Chris Lane,Partner,Invictus Advisors,"Began learning about Bitcoin in 2013 while working at Silvergate Bank. Have worked at the intersection of Bitcoin, Digital Assets, and US Commercial Banking for the past 12 years.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68eea683efa80faec219fe12_qdq2n0iPzVfbvKTqC16H9RUCayQW7UiWnWQHQSVqTsg.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Christian Lopez,"Managing Director, Head of Blockchain and Digital Assets",Cohen & Company Capital Markets,"Christian has dedicated his career to the Fintech and financial services sectors, developing a unique expertise in M&A, venture capital, capital markets, SPAC, and private placement transactions. His passion for sound money and its transformative impact on the financial ecosystem drives his work. Currently, Christian is Managing Director, Head of Blockchain and Digital Assets at Cohen & Company Capital Markets. Previously, he served as Vice President at Broadhaven Capital Partners, providing M&A and private placement advisory services to blockchain and Fintech companies. Before that, he was an Associate at Guggenheim Securities, covering Fintech, Banks, Insurance, and Specialty Finance, with a keen interest in blockchain innovations. Christian holds an MBA from Columbia Business School and a BS from the University of Illinois Urbana-Champaign.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691e35443db35f24435a4264_mlwAZ1ccAxh_i5A3p9lJ-KNXax8aHhdKg4Qn3y6Xb2w.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Christoph Koster,CEO,ruya,"Chris has been building financial services and investment platforms for banks, governments and technology companies. He is currently serving as the CEO of ruya, the UAE’s digital-first Islamic community bank. Under his leadership, ruya is dedicated to creating a fairer and more sustainable world through ethical Islamic banking practices, exceptional customer service and active community engagement. Before his role at ruya, Chris served as the Chief Operating Officer at a G42 joint venture, where he was responsible for building the business unit from its incubation phase. He also led the asset management of the group's portfolio of operating businesses and developed its proprietary investment programme. Prior to G42, Chris was a key member of the executive management team at the Abu Dhabi Investment Office (ADIO). His leadership and strategic vision were vital in positioning Abu Dhabi as a significant player on the global investment stage. At Emirates NBD, Chris led award-winning strategy and customer experience teams across Private Banking, Asset Management and Retail Banking. His tenure saw Emirates NBD's Private Banking business rise to prominence as the leading wealth management franchise in the region. Chris's career began at Roland Berger’s restructuring and turnaround practice as well as the corporate development and M&A team at a major renewable energy conglomerate.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68a5e0609f3dee85f8442d60_4BfrTDCwFzvZvt1BBZdTIZHUUFNEQMmHgpZSjwUxzTM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Clarisse Hagege,CEO,Dfns,"Clarisse Hagège is the CEO of Dfns, a cybersecurity company securing Bitcoin and digital assets through advanced wallet infrastructure. Her work focuses on building the cryptographic and institutional rails that enable safe, programmable custody and transaction flows across Bitcoin and other blockchain networks. Beyond Dfns, Clarisse serves on the board of the MPC Alliance, mentors founders through Techstars Web3 Launchpad, and advises early-stage crypto startups at Station F, helping bridge traditional finance and decentralized systems. Before founding Dfns, Clarisse earned degrees in Geopolitics and History (Sorbonne), Finance (Sciences Po), and Applied Economics (Dauphine University). She spent a decade in investment banking at Goldman Sachs, Merrill Lynch, and Crédit Agricole CIB, where she became the youngest Chief of Staff to the CEO and led initiatives in research, global coverage, and energy innovation. Today, Clarisse is deeply engaged in expanding Bitcoin’s institutional adoption and ensuring secure, global access to self-custody infrastructure. She lives between New York and Paris with her partner, Christopher, and their two children.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69138e2f3aa7da36a2f074f2_8SpUbwyaucXv-4r3d54B_Y46UTY3QimyPtbNoFfOyYI.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Craig Deutsch,,BTC Inc.,,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68a77218a9bccdfaa69a252a_13be398f1351339622f39e64.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
CZ,Founder,Binance,Founder of Binance,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69138f18c094c785ffbd8660_c0TEIkeM5XowLsNdtAKkQPOcKukd-xSN-5WaYE09P6A.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Dan Webb,Program Coordinator,BTC Media Inc,"I've worked in Bitcoin as software engineer, marketer, and strategist for more than five years. Former co-host of the High Hash Rate podcast.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/690e0842c00ad2e95a6d93bf_69ff7b621f14241dd0b94d58.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Daniel Batten,Managing Partner,CH4 Capital,"Daniel Batten is an entrepreneur and venture capitalist who become a significant voice in the Bitcoin space mainly through his data-driven approach to challenging common energy narratives. As these narratives have evolved he has pivoted attention to investigating the humanitarian value of Bitcoin, and its suitability on the balance sheet of large institutional capital",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68d415818d53cdafa7a0ad82_5969107ca52874bf6b07775d.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Daniel Jonsson,CEO,mgmt Digital Infrastructure Fund,"Daniel is the CEO of newly launched mgmt Digital Infrastructure Fund, a fund focused on bitcoin mining where energy is low cost, stranded or curtailed and leveraging mining with additional revenue streams such as grid balancing and heat reuse in the Nordics and eventually throughout Europe. A passionate miner since 2017, Daniel has been active in the industry founding and leading companies such as Greenblocks, a bitcoin mining company and Viska Digital Assets, Iceland's first digital asset focused hedge fund. Daniel has been an active angel investor in recent years. As a firm believer in proof of work and doing hard things, Daniel can bench press 150kg and deadlift 221kg.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68ffaa397a3a895a71d37c5e_tvmgf369uIDUlhmjpLARdzplrTSylsvgk8iAirGn1lI.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Daniel Sempere Pico,Chief Viral Officer,Viral Bits,"I'm a former real estate broker and entrepreneur turned bitcoiner. I got seriously into bitcoin at the end of 2020. In early 2021, I started the Bitcoin Gandalf Twitter account and grew it from 0-80,000 followers in 3 years. I also worked in marketing at bitcoin mining company Braiins from 2021-2023. In addition to writing about bitcoin, I'm also focused on helping people become more sovereign by building their personal brands through my ghostwriting and personal branding strategy consulting services.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b638dc64b755698d9af9_YVWaUR6QrI7QDReI9o0pF-orqQTHZfGTEzIdONGLVKA.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Danny Knowles,Host,What Bitcoin Did,Host of What Bitcoin Did Venture Partner @ Epoch,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b630a94348bfcae22907_1o9D8kaY2OIuoc39EEE3AS-iauetRo50bYA3sCWJy4Y.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Danny Yeung,Co-Founder & CEO,PRENETICS LTD,"Prenetics (Nasdaq: PRE) is a global health-tech and longevity company pioneering a dual-engine “Health + Wealth” strategy—building a transformative wellness brand while simultaneously accumulating one of the world’s most forward-leaning corporate Bitcoin treasuries. Its flagship brand IM8, co-founded with David Beckham, has become a category-defining force—achieving US$100M ARR in only 11 months, making it the fastest supplement company in history to reach this scale, even surpassing the growth trajectories of leading AI companies. IM8 is now projected to reach US$300M ARR by the end of 2026, powered by global expansion, strong clinical validation, and a world-class scientific advisory board. On the wealth engine, as of November 19, Prenetics holds 495 BTC and is acquiring 1 BTC per day, underscoring its commitment to long-term financial resilience, asymmetric upside, and a future where companies invest not only in extending lifespan, but also in strengthening financial health for decades to come.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691dd281aa4cb7be2fa3522d_Ee8W8NqmIwevhL1UWgPJgzc0wAV3lllNNoqXasBwiOs.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Darius Alexander,Managing Director,FTI Consulting,"Darius is Managing Director at FTI Consulting. He advises multinationals and institutional funds on marcomms, GTM and growth strategy, having launched into the UAE many leading global technology, fintech and digital assets firms. Prior to FTI, Darius was in venture capital and fintech company building.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69175661899e123d57ee5efe_45pR_8Fvjm3oPgi8Ot1OMD1XoTpY5kd9fWN8XdUWjWg.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Dave Ripley,co-CEO,Kraken,"David Ripley has served as Kraken's Co-Chief Executive Officer since October 2024. He previously served as Kraken's Chief Operating Officer from October 2016 to April 2023 and Chief Executive Officer from April 2023 to October 2024. Prior to joining Kraken, Mr. Ripley was the Co-Founder and Chief Executive Officer of Glidera, a non-custodial wallet and funding service provider that was acquired by Kraken in 2016. Mr. Ripley previously held roles in consulting at The Boston Consulting Group, where he advised clients across multiple industries, including technology and financial services. Earlier in his career, he also held management positions in software engineering and product management at Syclo, a mobile enterprise software company. Mr. Ripley holds a B.S. in Electrical Engineering from the University of Illinois at Urbana-Champaign and an M.B.A. from the Kellogg School of Management at Northwestern University.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691f6d7193b898106b94b61b_4r4dtKMmYA2YNpuZBWZB7I7YbuHLj_MsGZnlf3DYgL4.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
David Bailey,CEO,KindlyMD ($NAKA),"As the co-founder and chief executive officer of BTC Inc., David Bailey is an industry leader and evangelist for the decentralized future. Since 2013, BTC Inc has grown to offer critical intelligence, brand-building expertise and technical incubation specialized for the Bitcoin ecosystem, as well as industry-leading projects like Bitcoin Magazine, the Bitcoin 2022 conference, and Carrot. The company now operates in multiple countries and its brands are quickly becoming household names. Bailey sits on the board of advisors for the University of Alabama. He was managing partner at 402 Digital Partners, which is one of the earliest Bitcoin funds. He is currently general partner of UTXO Management; and is an active angel investor in the Bitcoin ecosystem.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6936cdb7215ebbc8d22b9033_f7f6378e54cf8672cce0b94e.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Davinci Jeremie,CEO,Davinci Codes Software Design,"Davinci Jeremie is a Bitcoin educator and entrepreneur dedicated to making crypto simple and practical. He runs the B4B (Bitcoin for Beginners) program, hosts live workshops and mentorships, and produces clear, hands-on guidance on buying, securing and using Bitcoin and Lightning. His teaching focuses on real-world custody, seed security and helping newcomers build confidence with crypto.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68eea683efa80faec219fe18_dF6uIEOGQUiV0C42hYdTHXpQOPtYXHvm4QJscV9ZZ9E.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Denny Xing,VP of Business Development,Hash House,"Denny is currently the VP of Business Development at Hash House, where he leads business development, sales, and project management, driving growth and operational excellence across immersion and hydro cooling solutions and electrical hardware solutions. Prior to Hash House, Denny held key roles at Novablock, Poolin, and Luxor, where he developed expertise across multiple business verticals, including mining pool, firmware, hosting operations, and equipment financing.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6894ba88feb4dbc64bde58f4_1cSpFRMN2lLdmorye0Q4uBDI6BCVMKFtCQ4BZCehWmg.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Derar Islim,Antalpha's COO and CEO of Americas & EMEA,Antalpha,"Derar Islim, Ph.D. – Chief Operating Officer, Antalpha Platform Holding Company and CEO, Americas & EMEA Derar Islim, PhD, is a seasoned financial executive with significant experience in the digital asset industry, building and managing premier digital assets financial services and products globally. Islim’s career reflects a blend of academic rigor and practical experience in high-stakes financial environments. Derar’s leadership at Genesis, particularly during its crisis, showcased his ability to navigate complex operational and financial challenges from execution and governance perspectives. Derar formerly held the roles of Interim CEO and COO at Genesis and, prior to that, Head of Risk at Hard Yaka. He has an established track record of leading at the forefront of modern financial markets. Early in his career, he served as a senior trader at Bank of America Merrill Lynch, where he co-managed the Funding Valuation Adjustment (FVA) trading desk and worked on modeling, pricing, and hedging credit structured products. Derar holds a Ph.D. in Financial Mathematics from Florida State University, focusing on financial derivatives and applied partial differential equations. Derar is a recipient of the prestigious Fulbright Scholarship, alongside other academic and professional awards.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691c838ce90d90923a60f651_a2a1b2e7f0ab23e98799f3cd.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Dishang Patel,Head of Digital Assets,RAKBANK,"Leading the banking charge for RAKBANK in the world of Digital Assets. With a background in Banking, Consulting, and Venture, Dishang brings a very rounded perspective whilst considering DeFi enablement possibilities to TradFi environments.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691de94b6c99a1121bdeaad7_4a909c08765c2b1693d1f42b.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Dr. Pippa Malmgren,CEO,Geopolitica Institute,"Dr. Pippa Malmgren is the founder and CEO of Geopolitica Institute and a Strategic Advisor to C10 Labs, the MIT Media Lab-based AI Venture Builder Studio. She is on the Young Presidents Organization Faculty and a Senior Associate Fellow of RUSI, the world’s leading defense think tank. She is also a Founder member of LUNARC, a lunar university project. She launched an award-winning drone startup and continues to advise several startups and startup incubators on cutting-edge technologies. She was formerly the economic advisor to President George W. Bush at the White House and a member of the National Economic Council. She served on the board of the British Government and as an advisor to the President of Malaysia. Before joining public service, she was the Chief Currency Strategist for Bankers Trust and as the Deputy Head of Global Strategy at UBS. She is also an award-winning bestseller author: The Leadership Lab won Business Book of the Year in 2019. She won an International Press Award 2020 for her book, The Infinite Leader, in 2021. She writes a column about the world economy, technology, and geopolitics on Substack called Dr. Pippa’s Pen and Podcast. She has a BA from Mount Vernon College and an M.Sc. and PhD from LSE in International Political Economy. She completed the Harvard Program on National Security and has lectured at Duke University in the Global Executive MBA Program (GEMBA) and at Sandhurst, The Royal College for Defense Studies, and at the Air Force Academy.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/693514da0c8a1ded4c87fe7e_c7c61e62f7d149c72b1dc7e6.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Dylan LeClair,Head of Bitcoin Strategy,Metaplanet,"Dylan LeClair leads Metaplanet’s corporate Bitcoin strategy, advancing its mission to integrate Bitcoin into the core of public capital markets.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6911fc88d02f728a7c9fcb33_5tR53k3PR5pbJBXR9boO3r7DT-s4Yu5vtzlBeh9ZpMY.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Efe Kelemci,Co Founder,Crypto Kid,"Teen Bitcoiner, Macro Analyst and Educator",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6937aa7ec3f4ab8fc28af21c_30kohohojhnzgWi_KXue9Be3stVqGPSCQi21wo_PukA.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Emily Byun,Programming Coordinator,BTC Inc.,,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e933fa1586af4afeb2e5c3_38sq8DJ4FVAHnmBikXTTSts-pZcQms55AhgDMt7zKhc.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Eric Yakes,Managing Partner,Epoch,"Eric Yakes is the Founder and Managing Partner of Epoch - a bitcoin infrastructure focused venture capital firm. He left the world of distressed private equity buyouts to join the bitcoin revolution by authoring The 7th Property - a best selling new release and internationally published book on bitcoin. As a CFA charter holder, his thought leadership is focused on the financial community helping them understand the revolutionary investment characteristics of bitcoin. Eric is a founding member and board Chairman of The Space - a Denver based non-profit educating the masses on economics and bitcoin.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e814fcf2a328d5a05d9935_i2tuRgWLm3vNZnt9mtEvjU1Lfu5LuentBtsHxjjTycM.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Erik Hersman,CEO,Gridless,"Erik Hersman is the CEO and co-founder of Gridless, a company building renewable energy mini-grids across Africa powered and stabilized by Bitcoin mining. Through projects in Kenya, Malawi, and Zambia, Gridless turns stranded or excess renewable power into productive local electricity and income for rural communities. A longtime technology entrepreneur and infrastructure builder, Erik’s work demonstrates how Bitcoin can be a catalyst for electrification, economic inclusion, and energy resilience across the continent.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68ffaa286d83ee45cd649401_e28cb263507ae55f10d46eb9.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Erik LaPaglia,Managing Partner,NextTech Ventures,"Erik LaPaglia is an angel investor, serial entrepreneur, and advisor with a track record of building and revitalizing companies across technology, real estate, advertising, and finance. As co-founder of Miami NFT Week and a board member of multiple organizations, Erik has been deeply involved in bridging innovation with institutional capital, fostering global partnerships at the intersection of Web3, tokenization, and traditional finance. Known for his ability to identify emerging trends and unlock new growth opportunities, Erik has advised and invested in numerous ventures within the blockchain and real-world asset (RWA) tokenization space. He has shared the stage at premier events such as iConnections, SALT, NFT NYC, Bitcoin Conference, and the Benzinga Tech & Finance Conference, engaging audiences on topics ranging from crypto adoption to proptech and capital markets innovation. With a vast network that spans entrepreneurs, investors, and thought leaders, Erik brings a unique perspective on how technology can reshape industries and create scalable, lasting impact.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e69a91e189cd2254549fa5_85482fc08dcb9849d539dead.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Fabian Jahr,Bitcoin Open Source Developer,Brink,Fabian works on Bitcoin Core but also supports other related Bitcoin open source projects. He is also researching protocol innovations enabled by Schnorr signatures such as CISA.,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e69aaa3e827485d4234c55_u0aUvcyI35CRv9Ei3ww7ekPrs95j4R-kUUDHovwMhBo.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Faisal Al Hammadi,Managing Partner,Further,All things Bitcoin,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/690e0603ed34497d76de363f_ZAPpYzJfDnJn80AHmu3DRbdByPEiieoBtbjrrIWKzEY.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Faisal Saeed Al Mutar,Founder,Ideas Beyond Borders,"Faisal Saeed Al Mutar is a social entrepreneur and media executive with extensive experience in economic development, innovation, and leadership. Over the past decade, Faisal has driven large-scale change and fostered growth in the Middle East and beyond. As the founder of Ideas Beyond Borders, he has built the organization into a leading platform for advancing free market thought, innovation, and policy reform in the Arab world, particularly in Iraq. Al Mutar has collaborated with intergovernmental organizations and private-sector stakeholders to promote growth and entrepreneurship. His work focuses on identifying transformative opportunities in diverse societies and implementing actionable policies to create jobs, reduce bureaucracy, and empower businesses with the tools necessary to grow. A sought-after speaker and thought leader, Faisal has delivered talks on global platforms, including TED, and engaged with audiences across the U.S. and the Middle East. His expertise spans innovation, counter-extremism, and geopolitical stability. He also supports startups and aspiring leaders, helping empower the next generation of changemakers. Faisal received the President’s Volunteer Service Award from President Barack Obama and an honorary doctorate from Whittier College in California. Splitting his time between New York and the Middle East, Faisal blends global insights with local expertise, building bridges between cultures and advancing meaningful change.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6902797f70c9cd59bf3eb2a8_4224ec2bf7487b355435a2e9.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Farooq Ahmed,Founder & CEO,Arcift Technologies,"Passionate bitcoin maximalist from Pakistan, driving bitcoin adoption in Pakistan and the UAE. Founder of Bitcoin Pakistan, a non-profit dedicated to educating Pakistanis and muslims worldwide on bitcoin's power for financial sovereignty and wealth preservation.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68fa434bf9de9a1bdac30d65_fbI-DW9pAC92ggQxBKwH0rpU5kqOX9XPFamdNJFxJFA.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Fin Creighton,Founder,Bitcoin Success School,"Fin Creighton is the founder of Bitcoin Success School. His work blends Bitcoin education, sovereignty, and long term protection, guiding individuals to avoid costly mistakes, remove trust in third parties, and take full control of their future. The Fin Creighton Podcast releases a weekly episode targeted for Gen Z Bitcoin Education.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68f921c94f5e6d4dce509a2f_NH92zl5MO0QyGSr8nceP2qy20IL4KH4YiJ3eYVI6jEw.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Frank Corva,Political Correspondent,Bitcoin Magazine,Frank Corva is the White House and Political Correspondent for Bitcoin Magazine.,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/692a1e2d76d6274dde056ed3_1VRjHWzGY0VvxO3kKu9oJw5woRmr_IfHrxM7DwI_9FY.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Fred King,Founder,CryptoSnake,"Fred King is a Bitcoiner and the founder of CryptoSnake, a YouTube channel focused on Bitcoin and crypto.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b638dc64b755698d9ae3_lpvzHhYlGeSclczYovwN0VwAvpd5YWmRl9NRp3C2JWA.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Gary Sheynkman,Partner,Further,Founder and VC,,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e69aaa3e827485d4234c4c_ADOcV_4RFQ2KGegHapsJfFmCIL-LnjFYmUeFwxGbkGI.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
George Mekhail,Managing Director,"Bitcoin for Corporations, BTC Inc","George Mekhail is the Managing Director of Bitcoin for Corporations at BTC Inc., author of I Am Not Your Bruh, and co-author of Thank God for Bitcoin. A passionate advocate for Bitcoin since 2017, George blends his experience in marketing, financial innovation, and community development to guide companies in thoughtfully integrating Bitcoin into their strategic operations, while also advocating for strong family dynamics at home.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e81508c0228da0cb209262_kntEp80pjhdX-Ci1tuxVYej-jJz8s02NvN8sN3ulERU.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Gopal Bharvad,Founder & COO,21m | Hedgit,"Building Bitcoin Financial Services @ Hedgit While shaping the Orange Hill @ 21m Started mining in 2014, burned down old refrigerator trying to cool a rig and hosted a Bitcoin meetup in 2016 then Shitereum happened. Since then been on the learning curve, educating about corn, building & growing while eternally repeating: Stack the sats.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68dc3fb7f08a0cc040d0a122_SWRqYQEqz_a2cQc-LWBvo4Wp6BfXXvpORA9cj4rm99c.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Greg Carson,Managing Partner,Humla Ventures,"Greg Carson is a frequent contributor, lecturer and speaker on events about investing in the digital asset ecosystem and negotiation technique. He has spoken on these subjects at several global conferences including Super Venture, Wyoming Blockchain Symposium, CFC St Moritz, Bitcoin 2021-2025, MCC, Davos, Uncorrelated Alts, Horizon events and even at his Alma Mater, the Wharton School of Business. Greg has a decade as a tech founder, a decade of experience in investment banking and strategy, and is rounding out his first decade in venture capital. Humla Ventures operates in the top decile of venture returns and is one of the top global emerging managers in the space. Greg is a dedicated father snowboarder, sportsman, reader/writer, dance teacher and tai chi.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68d438bf38f9e3a1f6440981_23c1cdec1648085e39920185.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Gregg Davis,Director MENA,BTC Inc,"UK national, based in the UAE for 10 years. Having attended and had poor experiences at crypto events in the region, Gregg reached out to BTC Inc in 2022 to bring the Bitcoin Conference to Abu Dhabi. Using the landmark success of the inaugural Bitcoin MENA conference in 2024 as a launchpad, Gregg is now working on a bigger and better Bitcoin MENA 2025 along with launching Bitcoin Magazine, Bitcoin for Corporations and UTXO Managment into the GCC region. Yacht Captain by trade, Bitcoiner by nature.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e814fcf2a328d5a05d9938_ab7455d6a349e3069fce2f0a.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
H.E. Dr. Mohamed Al Kuwaiti,"Head of Cyber Security, United Arab Emirates Government",Cyber Security Council,"H.E. Dr. Mohamed Al Kuwaiti is the Head of Cyber Security for the UAE Government and leads the UAE Cyber Security Council. He oversees the national cybersecurity strategy, resilience programs, and major initiatives that positioned the UAE among the top-ranked countries in the ITU Global Cybersecurity Index 2024. He also serves as Managing Director of the National Data Center and plays key international roles, including Co-Chair of the Counter Ransomware Initiative and Vice Chair of OIC-CERT. Dr. Al Kuwaiti has over 20 years of experience in national security and has spoken at more than 50 global events. He holds a Ph.D. in Computer Engineering and Network Security from George Washington University.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c95507ab2f8549b67f3f_g7pe98-QdKpf9BpPC5_Re5PLqsRuspweuNcWW32XzCE.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
Hicham Chahine,Founder & Co-CEO,NIP Group INC,"Hicham Chahine is Co-Founder and Co-CEO of NIP Group (NASDAQ: NIPG), where he is leading the company's rapid expansion into Bitcoin mining and digital infrastructure. Under his leadership, NIPG scaled from zero to 11.3 EH/s of Bitcoin mining capacity in under six months, establishing the company as one of the fastest-growing public miners globally, and the largest in the MENA region. Prior to NIPG's digital infrastructure expansion, Hicham acquired the esports organization Ninjas in Pyjamas in 2016 and built it into a global gaming and entertainment platform reaching hundreds of millions of fans. His background spans finance and entrepreneurship - from 2008 to 2016, he directed hedge fund investments at Formue, the Nordic region's largest wealth management firm, and in 2010 founded Diglife AS, a private equity firm focused on lifestyle, gaming, and technology investments. Hicham brings a unique perspective to Bitcoin mining through his combination of financial markets experience, operational scale-up expertise, and deep understanding of digital communities and fan engagement. He is based in Abu Dhabi, where NIPG operates under a partnership framework with the Abu Dhabi Investment Office. He holds a bachelor's degree in business and economics from BI Norwegian Business School.",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6920ad63b989f44b0f787dcf_cb276ef2822ec001a6236cad.webp,,Bitcoin MENA,2025,https://mena.b.tc/speakers
